,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
0,bfc_wgsim_rl_100_cov_1_20.corrected.fastq,bfc,20,265,28574,18139,3,209,0,0,47190,410,4695222,23069,3,296,0,0,0,4719000,Bfc,1,100L,0.017462413,0.580736544,0.004855403,0.995048103,IGH,0,
1,bfc_wgsim_rl_100_cov_1_22.corrected.fastq,bfc,22,249,28596,18180,3,162,0,0,47190,398,4695293,23080,4,225,0,0,0,4719000,Bfc,1,100L,0.01695204,0.638844302,0.0073686,0.995060606,IGH,0,
2,bfc_wgsim_rl_100_cov_1_24.corrected.fastq,bfc,24,236,28605,18186,3,160,0,0,47190,369,4695299,23110,3,219,0,0,0,4719000,Bfc,1,100L,0.015716172,0.62755102,0.006388688,0.995055732,IGH,0,
3,bfc_wgsim_rl_100_cov_1_26.corrected.fastq,bfc,26,245,28630,18192,2,121,0,0,47190,390,4695362,23090,2,156,0,0,0,4719000,Bfc,1,100L,0.016609881,0.714285714,0.009965928,0.995073533,IGH,0,
4,bfc_wgsim_rl_100_cov_1_28.corrected.fastq,bfc,28,223,28631,18219,2,115,0,0,47190,353,4695377,23127,2,141,0,0,0,4719000,Bfc,1,100L,0.015034072,0.714574899,0.009028961,0.995068871,IGH,0,
5,bfc_wgsim_rl_100_cov_1_30.corrected.fastq,bfc,30,225,28634,18220,1,110,0,0,47190,338,4695387,23143,1,131,0,0,0,4719000,Bfc,1,100L,0.014394617,0.720682303,0.008815638,0.995067811,IGH,0,
6,bfc_wgsim_rl_100_cov_16_20.corrected.fastq,bfc,20,265904,453943,27986,123,7086,0,0,755042,344757,75120350,31667,138,7288,0,0,0,75504200,Bfc,16,100L,0.915874121,0.979298101,0.896512975,0.999482241,IGH,0,
7,bfc_wgsim_rl_100_cov_16_22.corrected.fastq,bfc,22,262422,453846,31428,113,7233,0,0,755042,340591,75120242,35843,128,7396,0,0,0,75504200,Bfc,16,100L,0.904782777,0.978746332,0.885135243,0.999425635,IGH,0,
8,bfc_wgsim_rl_100_cov_16_24.corrected.fastq,bfc,24,258535,453754,35259,106,7388,0,0,755042,335915,75120065,40530,117,7573,0,0,0,75504200,Bfc,16,100L,0.89233487,0.97795265,0.872217721,0.99936136,IGH,0,
9,bfc_wgsim_rl_100_cov_16_26.corrected.fastq,bfc,26,254080,453753,39758,96,7355,0,0,755042,330560,75120098,45898,104,7540,0,0,0,75504200,Bfc,16,100L,0.878079361,0.977698906,0.858050566,0.999290874,IGH,0,
10,bfc_wgsim_rl_100_cov_16_28.corrected.fastq,bfc,28,249575,453737,44283,100,7347,0,0,755042,325001,75120093,51454,107,7545,0,0,0,75504200,Bfc,16,100L,0.863319653,0.97731141,0.843277417,0.999217183,IGH,0,
11,bfc_wgsim_rl_100_cov_16_30.corrected.fastq,bfc,30,244507,453750,49212,83,7490,0,0,755042,318885,75119967,57586,91,7671,0,0,0,75504200,Bfc,16,100L,0.847037355,0.976509389,0.826661283,0.999134512,IGH,0,
12,bfc_wgsim_rl_100_cov_2_20.corrected.fastq,bfc,20,1855,56902,34881,4,738,0,0,94380,2758,9390140,44069,5,1028,0,0,0,9438000,Bfc,2,100L,0.058897645,0.728473323,0.036944498,0.995221233,IGH,0,
13,bfc_wgsim_rl_100_cov_2_22.corrected.fastq,bfc,22,1733,57074,35065,4,504,0,0,94380,2583,9390475,44244,5,693,0,0,0,9438000,Bfc,2,100L,0.055160484,0.788461538,0.04036133,0.995238186,IGH,0,
14,bfc_wgsim_rl_100_cov_2_24.corrected.fastq,bfc,24,1725,57086,35109,4,456,0,0,94380,2543,9390531,44285,4,637,0,0,0,9438000,Bfc,2,100L,0.054305117,0.799685535,0.040702144,0.995239881,IGH,0,
15,bfc_wgsim_rl_100_cov_2_26.corrected.fastq,bfc,26,1760,57148,35111,4,357,0,0,94380,2527,9390688,44301,4,480,0,0,0,9438000,Bfc,2,100L,0.053963441,0.840372464,0.043713163,0.995254821,IGH,0,
16,bfc_wgsim_rl_100_cov_2_28.corrected.fastq,bfc,28,1589,57158,35293,2,338,0,0,94380,2315,9390712,44514,3,456,0,0,0,9438000,Bfc,2,100L,0.049435179,0.83543847,0.039697623,0.995234901,IGH,0,
17,bfc_wgsim_rl_100_cov_2_30.corrected.fastq,bfc,30,1517,57162,35368,3,330,0,0,94380,2169,9390744,44660,3,424,0,0,0,9438000,Bfc,2,100L,0.046317453,0.836482838,0.037263234,0.995222823,IGH,0,
18,bfc_wgsim_rl_100_cov_32_20.corrected.fastq,bfc,20,589831,913557,2750,262,3684,0,0,1510084,750850,150250208,3347,266,3729,0,0,0,151008400,Bfc,32,100L,0.995562167,0.995058172,0.990617836,0.99995138,IGH,0,
19,bfc_wgsim_rl_100_cov_32_22.corrected.fastq,bfc,22,589178,913217,3047,245,4397,0,0,1510084,750520,150249502,3695,248,4435,0,0,0,151008400,Bfc,32,100L,0.995100866,0.994125478,0.98922058,0.99994452,IGH,0,
20,bfc_wgsim_rl_100_cov_32_24.corrected.fastq,bfc,24,588339,912858,3484,233,5170,0,0,1510084,750050,150248720,4177,236,5217,0,0,0,151008400,Bfc,32,100L,0.99446188,0.993092509,0.987544864,0.999936229,IGH,0,
21,bfc_wgsim_rl_100_cov_32_26.corrected.fastq,bfc,26,587339,912520,4070,228,5927,0,0,1510084,749332,150247949,4900,231,5988,0,0,0,151008400,Bfc,32,100L,0.993503325,0.992072234,0.985564124,0.999926368,IGH,0,
22,bfc_wgsim_rl_100_cov_32_28.corrected.fastq,bfc,28,586168,912064,4929,217,6706,0,0,1510084,748333,150247164,5911,219,6773,0,0,0,151008400,Bfc,32,100L,0.992163014,0.991030398,0.983183161,0.999914554,IGH,0,
23,bfc_wgsim_rl_100_cov_32_30.corrected.fastq,bfc,30,584713,911756,5932,214,7469,0,0,1510084,747127,150246393,7118,218,7544,0,0,0,151008400,Bfc,32,100L,0.990562748,0.990003591,0.980560693,0.999901462,IGH,0,
24,bfc_wgsim_rl_100_cov_4_20.corrected.fastq,bfc,20,14388,113615,58930,11,1816,0,0,188760,20781,18779634,73084,17,2484,0,0,0,18876000,Bfc,4,100L,0.221392425,0.893230174,0.194928887,0.995995709,IGH,0,
25,bfc_wgsim_rl_100_cov_4_22.corrected.fastq,bfc,22,13692,113799,59744,8,1517,0,0,188760,19724,18780044,74146,12,2074,0,0,0,18876000,Bfc,4,100L,0.210120379,0.904853656,0.188025993,0.995961433,IGH,0,
